ID;Project ID;Requirement;Type;ISO Category;ISO SubCategory;Equivalence PROMISE NFR
1;16;Todos los datos introducidos podrán ser leídos, modificados o eliminados en cualquier momento.;quality;Fiabilidad;Disponibilidad;A
2;16;Que toda la información que proporcione a la aplicación y las operaciones que realice no puedan ser consultadas por otros usuarios.;quality;Seguridad;Confidencialidad;SE
3;16;Todos los datos personales almacenados, así como las operaciones realizadas deberán estar securizadas y/o codificadas.;quality;Seguridad;Integridad;SE
4;16;Consulta/Edición del perfil de usuario: El usuario podrá acceder a su información personal en cualquier momento.;quality;Fiabilidad;Disponibilidad;A
5;16;La información de los usuarios debe ser confidencial y no debe permitirse el acceso a estos por parte de terceros. ;quality;Seguridad;Confidencialidad;SE
6;16;Todas las operaciones que realice un usuario sobre el sistema deben verificar la autenticidad y autorización que dicho usuario posee.;quality;Seguridad;No agreement;SE
7;16;Uno de los pilares del sistema es la capacidad de ofertar un abanico de formatos que pueden incrementarse con el tiempo. Por eso, se espera del sistema que sea capaz de adaptarse a las nuevas inclusiones de formatos, sin necesidad de modificar el código.;quality;Portabilidad;Adaptabilidad;PO
8;16;La aplicación debe presentar una interfaz simple y fácil para el usuario. ;quality;Usabilidad;Capacidad para ser usado;US
9;16;Se proporcionarán manuales de ayuda on-line para facilitar la creación de currículums y ayuda en las funcionalidades más complejas.;quality;Usabilidad;Capacidad de aprendizaje;US
10;17;La aplicación debe permitir al usuario hacer consultas de manera intuitiva.;quality;Usabilidad;Capacidad para ser usado;US
11;17;La aplicación debe proporcionarle al usuario una interfaz que sea fácil de utilizar.;quality;Usabilidad;Capacidad para ser usado;US
12;17;El acceso a la información almacenada en la estructura compacta debe ser eficiente, ya que en esta se guardan grandes cantidades de datos usando el mínimo espacio necesario.;quality;Eficiencia_de_desempeño;Utilización de recursos;PE
13;17;Tiempos de respuesta cortos al realizar peticiones contra la estructura de compresión utilizada.;quality;Eficiencia_de_desempeño;Comportamiento temporal;PE
14;18;El sistema debe permitir la autenticación de usuarios para que un usuario anónimo se registre y poder iniciar sesión como usuario registrado.;quality;Seguridad;Autenticidad;SE
15;18;Se considera importante que la aplicación cuente con un sistema de autenticación para que los usuarios no accedan a datos que no les corresponde.;quality;Seguridad;No agreement;SE
16;21;Securizar el gestor mediante inicio de sesión con usuario y contraseña.;quality;Seguridad;Autenticidad;SE
17;21;La aplicación debe estar en Español, ya que el ámbito de las revistas es de habla hispana.;quality;Usabilidad;No agreement;NA
18;21;La aplicación web accesible por el usuario debe tener un diseño minimalista y de fácil uso.;quality;Usabilidad;Estética de la interfaz de usuario;LF
19;22;El sistema debe ofrecer la funcionalidad como se necesita. Debe minimizarse tanto la probabilidad de fallo como el número de fallos.;quality;Adecuacion_Funcional;No agreement;NA
20;22;La aplicación deberá ser lo más fácil, cómoda e intuitiva de usar posible.;quality;Usabilidad;Capacidad para ser usado;US
21;22;La aplicación debe hacer una buena gestión de los recursos disponibles.;quality;Eficiencia_de_desempeño;Utilización de recursos;PE
22;22;No debe requerir mucho esfuerzo que la aplicación crezca en funcionalidades.;quality;Mantenibilidad;Capacidad para ser modificado;MN
23;22;El sistema debe ofrecer la funcionalidad cuando se necesita.;quality;Fiabilidad;Disponibilidad;A
24;22;Debe minimizarse la complejidad del sistema y favorecer el rendimiento.;quality;Eficiencia_de_desempeño;Comportamiento temporal;PE
25;23;El sistema debe ofrecer servicio en todo momento.;quality;Fiabilidad;Disponibilidad;A
26;23;El sistema debe ser capaz de recuperarse de los fallos sin pérdida de datos.;quality;Fiabilidad;Capacidad de recuperación;NA
27;23;El sistema debe garantizar la seguridad en los envíos y lecturas de mensajes.;quality;Seguridad;Integridad;SE
28;23;El sistema debe estar preparado para una alta carga de trabajo y posibles expansiones futuras.;quality;Eficiencia_de_desempeño;Capacidad;PE
29;23;El sistema debe asegurar la correctitud y completitud de los datos almacenados en base de datos. Integridad de datos;quality;Fiabilidad;Madurez;NA
30;24;Interfaz intuitiva. Dado que el proceso de calibración de un edificio es un proceso tedioso y propenso a errores, la interfaz de la aplicación debe ser lo más clara y concisa, ayudando al usuario en la medida de lo posible, para minimizar problemas.;quality;Usabilidad;Protección contra errores de usuario;US
